,Handle,Option1 Value,Option1 Name,Option2 Value,Option2 Name
0,floral-print-o-neck-maxi-dress,Color,Light brown,Size,S
1,floral-print-o-neck-maxi-dress,Color,Light brown,Size,M
2,floral-print-o-neck-maxi-dress,Color,Light brown,Size,L
3,floral-print-o-neck-maxi-dress,Color,Light brown,Size,XL
4,floral-print-o-neck-maxi-dress,Color,Light brown,Size,XXL
5,long-sleeve-flower-print-loose-dress,Color,Blue,Size,S
6,long-sleeve-flower-print-loose-dress,Color,Blue,Size,M
7,long-sleeve-flower-print-loose-dress,Color,Blue,Size,L
8,long-sleeve-flower-print-loose-dress,Color,Blue,Size,XL
9,long-sleeve-flower-print-loose-dress,Color,Blue,Size,XXL
10,flower-printing-long-sleeve-dress,Color,Black,Size,S
11,flower-printing-long-sleeve-dress,Color,Black,Size,M
12,flower-printing-long-sleeve-dress,Color,Black,Size,L
13,flower-printing-long-sleeve-dress,Color,Black,Size,XL
14,flower-printing-long-sleeve-dress,Color,Black,Size,XXL
15,flower-printing-long-sleeve-dress,Color,Black,Size,3XL
16,flower-printing-long-sleeve-dress,Color,Black,Size,4XL
17,flower-printing-long-sleeve-dress,Color,Black,Size,5XL
18,loosen-lace-spring-dresses,Color,Black,Size,S
19,loosen-lace-spring-dresses,Color,Black,Size,M
20,loosen-lace-spring-dresses,Color,Black,Size,L
21,loosen-lace-spring-dresses,Color,Black,Size,XL
22,loosen-lace-spring-dresses,Color,Black,Size,2XL
23,vintage-floral-mosaic-holiday-long-sleeve-dress,Color,Blue,Size,S
24,vintage-floral-mosaic-holiday-long-sleeve-dress,Color,Blue,Size,M
25,vintage-floral-mosaic-holiday-long-sleeve-dress,Color,Blue,Size,L
26,vintage-floral-mosaic-holiday-long-sleeve-dress,Color,Blue,Size,XL
27,vintage-floral-mosaic-holiday-long-sleeve-dress,Color,Blue,Size,2XL
28,vintage-floral-mosaic-holiday-long-sleeve-dress,Color,Blue,Size,3XL
29,vintage-floral-mosaic-holiday-long-sleeve-dress,Color,Blue,Size,4XL
30,vintage-floral-mosaic-holiday-long-sleeve-dress,Color,Blue,Size,5XL
31,leopard-print-maxi-dress,Color,Blue,Size,S
32,leopard-print-maxi-dress,Color,Blue,Size,M
33,leopard-print-maxi-dress,Color,Blue,Size,L
34,leopard-print-maxi-dress,Color,Blue,Size,XL
35,leopard-print-maxi-dress,Color,Blue,Size,2XL
36,leopard-print-maxi-dress,Color,Blue,Size,3XL
37,leopard-print-maxi-dress,Color,Blue,Size,4XL
38,leopard-print-maxi-dress,Color,Blue,Size,5XL
39,never-letting-go-white-shirtdress,Color,White,Size,S
40,never-letting-go-white-shirtdress,Color,White,Size,M
41,never-letting-go-white-shirtdress,Color,White,Size,L
42,never-letting-go-white-shirtdress,Color,White,Size,XL
43,never-letting-go-white-shirtdress,Color,White,Size,2XL
44,vintage-elegant-floral-long-sleeves-a-line-casual-dresses,Color,Brown,Size,S
45,vintage-elegant-floral-long-sleeves-a-line-casual-dresses,Color,Brown,Size,M
46,vintage-elegant-floral-long-sleeves-a-line-casual-dresses,Color,Brown,Size,L
47,vintage-elegant-floral-long-sleeves-a-line-casual-dresses,Color,Brown,Size,XL
48,vintage-floral-long-sleeves-dresses,Color,Blue,Size,S
49,vintage-floral-long-sleeves-dresses,Color,Blue,Size,M
50,vintage-floral-long-sleeves-dresses,Color,Blue,Size,L
51,vintage-floral-long-sleeves-dresses,Color,Blue,Size,XL
52,vintage-floral-long-sleeves-dresses,Color,Blue,Size,XXL
53,vintage-floral-long-sleeves-dresses,Color,Blue,Size,3XL
54,vintage-floral-long-sleeves-dresses,Color,Blue,Size,4XL
55,vintage-floral-long-sleeves-dresses,Color,Blue,Size,5XL
56,casual-floral-cotton-long-maxi-blue-dresses,Color,Blue,Size,S
57,casual-floral-cotton-long-maxi-blue-dresses,Color,Blue,Size,M
58,casual-floral-cotton-long-maxi-blue-dresses,Color,Blue,Size,L
59,casual-floral-cotton-long-maxi-blue-dresses,Color,Blue,Size,XL
60,casual-floral-cotton-long-maxi-blue-dresses,Color,Blue,Size,XXL
61,casual-floral-cotton-long-maxi-blue-dresses,Color,Blue,Size,3XL
62,vintage-flower-print-a-line-dress,Color,Black,Size,S
63,vintage-flower-print-a-line-dress,Color,Black,Size,M
64,vintage-flower-print-a-line-dress,Color,Black,Size,L
65,vintage-flower-print-a-line-dress,Color,Black,Size,XL
66,vintage-flower-print-a-line-dress,Color,Black,Size,XXL
67,vintage-flower-print-a-line-dress,Color,Black,Size,3XL
68,boho-printing-long-sleeve-dress,Color,Blue,Size,S
69,boho-printing-long-sleeve-dress,Color,Blue,Size,M
70,boho-printing-long-sleeve-dress,Color,Blue,Size,L
71,boho-printing-long-sleeve-dress,Color,Blue,Size,XL
72,boho-printing-long-sleeve-dress,Color,Blue,Size,XXL
73,boho-printing-long-sleeve-dress,Color,Blue,Size,3XL
74,boho-printing-long-sleeve-dress,Color,Blue,Size,4XL
75,boho-printing-long-sleeve-dress,Color,Blue,Size,5XL
76,cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Color,Black,Size,S
77,cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Color,Black,Size,M
78,cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Color,Black,Size,L
79,cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Color,Black,Size,XL
80,cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Color,Black,Size,XXL
81,cotton-polka-dot-baggy-sarafans-vestidos-robe-maxi-dress,Color,Black,Size,3XL
82,cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Color,Gray,Size,S
83,cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Color,Gray,Size,M
84,cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Color,Gray,Size,L
85,cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Color,Gray,Size,XL
86,cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Color,Gray,Size,XXL
87,cotton-v-neck-puff-sleeve-vintage-elastic-cuff-women-dress,Color,Gray,Size,3XL
88,long-sleeve-casual-long-pocket-dress,Color,Green,Size,S
89,long-sleeve-casual-long-pocket-dress,Color,Green,Size,M
90,long-sleeve-casual-long-pocket-dress,Color,Green,Size,L
91,long-sleeve-casual-long-pocket-dress,Color,Green,Size,XL
92,long-sleeve-casual-long-pocket-dress,Color,Green,Size,XXL
93,long-sleeve-casual-long-pocket-dress,Color,Green,Size,3XL
94,long-sleeve-casual-long-pocket-dress,Color,Green,Size,4XL
95,long-sleeve-casual-long-pocket-dress,Color,Green,Size,5XL
